class_id,class_name,accuracy,correct,total
3,AN 88,1.0000,5,5
6,ATALA,1.0000,5,5
8,BANDED ORANGE HELICONIAN,1.0000,5,5
9,BANDED PEACOCK,1.0000,5,5
13,BLACK HAIRSTREAK,1.0000,5,5
17,BROWN ARGUS,1.0000,5,5
19,CABBAGE WHITE,1.0000,5,5
22,CHECQUERED SKIPPER,1.0000,5,5
26,CLEOPATRA,1.0000,5,5
27,CLODIUS PARNASSIAN,1.0000,5,5
29,COMET MOTH,1.0000,5,5
43,GLITTERING SAPPHIRE,1.0000,5,5
48,GREEN HAIRSTREAK,1.0000,5,5
49,GREY HAIRSTREAK,1.0000,5,5
57,LUNA MOTH,1.0000,5,5
58,MADAGASCAN SUNSET MOTH,1.0000,5,5
60,MANGROVE SKIPPER,1.0000,5,5
64,MONARCH,1.0000,5,5
66,OLEANDER HAWK MOTH,1.0000,5,5
68,ORANGE TIP,1.0000,5,5
71,PAPER KITE,1.0000,5,5
72,PEACOCK,1.0000,5,5
78,PURPLISH COPPER,1.0000,5,5
85,SCARCE SWALLOW,1.0000,5,5
91,STRAITED QUEEN,1.0000,5,5
97,WOOD SATYR,1.0000,5,5
1,AFRICAN GIANT SWALLOWTAIL,0.8000,4,5
4,APPOLLO,0.8000,4,5
12,BIRD CHERRY ERMINE MOTH,0.8000,4,5
18,BROWN SIPROETA,0.8000,4,5
20,CAIRNS BIRDWING,0.8000,4,5
23,CHESTNUT,0.8000,4,5
25,CLEARWING MOTH,0.8000,4,5
31,COMMON WOOD-NYMPH,0.8000,4,5
37,EASTERN DAPPLE WHITE,0.8000,4,5
40,EMPEROR GUM MOTH,0.8000,4,5
53,IO MOTH,0.8000,4,5
61,MESTRA,0.8000,4,5
62,METALMARK,0.8000,4,5
65,MOURNING CLOAK,0.8000,4,5
70,PAINTED LADY,0.8000,4,5
74,PIPEVINE SWALLOW,0.8000,4,5
84,ROSY MAPLE MOTH,0.8000,4,5
88,SLEEPY ORANGE,0.8000,4,5
0,ADONIS,0.6000,3,5
7,ATLAS MOTH,0.6000,3,5
11,BECKERS WHITE,0.6000,3,5
24,CINNABAR MOTH,0.6000,3,5
28,CLOUDED SULPHUR,0.6000,3,5
32,COPPER TAIL,0.6000,3,5
33,CRECENT,0.6000,3,5
51,HUMMING BIRD HAWK MOTH,0.6000,3,5
55,JULIA,0.6000,3,5
56,LARGE MARBLE,0.6000,3,5
67,ORANGE OAKLEAF,0.6000,3,5
73,PINE WHITE,0.6000,3,5
75,POLYPHEMUS MOTH,0.6000,3,5
76,POPINJAY,0.6000,3,5
81,RED CRACKER,0.6000,3,5
83,RED SPOTTED PURPLE,0.6000,3,5
87,SIXSPOT BURNET MOTH,0.6000,3,5
93,TWO BARRED FLASHER,0.6000,3,5
96,WHITE LINED SPHINX MOTH,0.6000,3,5
98,YELLOW SWALLOW TAIL,0.6000,3,5
2,AMERICAN SNOOT,0.4000,2,5
10,BANDED TIGER MOTH,0.4000,2,5
15,BLUE SPOTTED CROW,0.4000,2,5
16,BROOKES BIRDWING,0.4000,2,5
21,CHALK HILL BLUE,0.4000,2,5
34,CRIMSON PATCH,0.4000,2,5
36,EASTERN COMA,0.4000,2,5
42,GIANT LEOPARD MOTH,0.4000,2,5
50,HERCULES MOTH,0.4000,2,5
54,Iphiclus sister,0.4000,2,5
63,MILBERTS TORTOISESHELL,0.4000,2,5
69,ORCHARD SWALLOW,0.4000,2,5
77,PURPLE HAIRSTREAK,0.4000,2,5
79,QUESTION MARK,0.4000,2,5
80,RED ADMIRAL,0.4000,2,5
86,SILVER SPOT SKIPPER,0.4000,2,5
94,ULYSES,0.4000,2,5
95,VICEROY,0.4000,2,5
5,ARCIGERA FLOWER MOTH,0.2000,1,5
14,BLUE MORPHO,0.2000,1,5
30,COMMON BANDED AWL,0.2000,1,5
35,DANAID EGGFLY,0.2000,1,5
38,EASTERN PINE ELFIN,0.2000,1,5
39,ELBOWED PIERROT,0.2000,1,5
44,GOLD BANDED,0.2000,1,5
45,GREAT EGGFLY,0.2000,1,5
46,GREAT JAY,0.2000,1,5
47,GREEN CELLED CATTLEHEART,0.2000,1,5
52,INDRA SWALLOW,0.2000,1,5
59,MALACHITE,0.2000,1,5
82,RED POSTMAN,0.2000,1,5
89,SOOTYWING,0.2000,1,5
90,SOUTHERN DOGFACE,0.2000,1,5
92,TROPICAL LEAFWING,0.2000,1,5
99,ZEBRA LONG WING,0.2000,1,5
41,GARDEN TIGER MOTH,0.0000,0,5
